Summary Statistic	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[0][7]	m[0][8]	m[0][9]	m[0][10]	m[0][11]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[1][7]	m[1][8]	m[1][9]	m[1][10]	m[1][11]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[2][7]	m[2][8]	m[2][9]	m[2][10]	m[2][11]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[3][7]	m[3][8]	m[3][9]	m[3][10]	m[3][11]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[4][7]	m[4][8]	m[4][9]	m[4][10]	m[4][11]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[5][7]	m[5][8]	m[5][9]	m[5][10]	m[5][11]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	m[6][7]	m[6][8]	m[6][9]	m[6][10]	m[6][11]	m[7][0]	m[7][1]	m[7][2]	m[7][3]	m[7][4]	m[7][5]	m[7][6]	m[7][7]	m[7][8]	m[7][9]	m[7][10]	m[7][11]	m[8][0]	m[8][1]	m[8][2]	m[8][3]	m[8][4]	m[8][5]	m[8][6]	m[8][7]	m[8][8]	m[8][9]	m[8][10]	m[8][11]	m[9][0]	m[9][1]	m[9][2]	m[9][3]	m[9][4]	m[9][5]	m[9][6]	m[9][7]	m[9][8]	m[9][9]	m[9][10]	m[9][11]	m[10][0]	m[10][1]	m[10][2]	m[10][3]	m[10][4]	m[10][5]	m[10][6]	m[10][7]	m[10][8]	m[10][9]	m[10][10]	m[10][11]	m[11][0]	m[11][1]	m[11][2]	m[11][3]	m[11][4]	m[11][5]	m[11][6]	m[11][7]	m[11][8]	m[11][9]	m[11][10]	m[11][11]
mean	-73938.3548	0.6856	9.7483E-3	1.3384E-3	0.0169	0.2073	2.0499E-3	1.3569E-3	1.2895E-3	0.011	4.6809E-3	0.0574	1.3255E-3	4.5907E-3	0.7668	1.096E-3	0.0261	0.1558	1.4706E-3	1.0519E-3	1.0851E-3	3.4434E-3	0.0117	0.0257	1.0758E-3	0.0226	0.0297	0.6724	0.0802	0.0822	5.9945E-3	6.1358E-3	5.7572E-3	0.0524	0.0229	0.014	5.7048E-3	0.0116	0.0608	1.6647E-3	0.7113	0.0532	1.931E-3	1.6804E-3	1.6668E-3	0.0152	0.0208	0.1184	1.7157E-3	5.0867E-3	0.0404	1.1551E-3	0.036	0.8073	3.7428E-3	1.1777E-3	1.1242E-3	6.8829E-3	3.2409E-3	0.0926	1.1764E-3	8.9834E-3	0.0336	4.6736E-3	0.0232	0.156	0.6723	4.679E-3	4.7076E-3	0.0579	8.8426E-3	0.0204	4.7183E-3	0.0139	0.0768	4.514E-3	0.1017	0.0356	4.7072E-3	0.6713	4.5474E-3	0.0679	7.1166E-3	7.4807E-3	4.4204E-3	0.0171	0.0669	6.3818E-3	0.0757	0.0667	6.2601E-3	6.4028E-3	0.673	8.6874E-3	0.0262	0.0403	6.3505E-3	0.0144	0.091	3.2202E-3	0.0375	0.0983	6.3917E-3	3.455E-3	3.2735E-3	0.6983	0.0269	0.0139	3.3722E-3	5.475E-3	0.1228	1.994E-3	0.0702	0.0463	2.5436E-3	1.9834E-3	1.9231E-3	4.8837E-3	0.676	0.064	1.9404E-3	0.0102	0.0106	1.0672E-3	0.0716	0.1444	1.5274E-3	1.0969E-3	1.0679E-3	0.0112	0.0225	0.7237	1.1072E-3	0.0138	0.1524	3.9988E-3	0.0521	0.0618	4.1523E-3	4.0389E-3	4.025E-3	7.7555E-3	6.5385E-3	0.0188	0.6707
stderr of mean	145.7691	4.0292E-3	1.2881E-3	3.1393E-5	3.6373E-3	0.0185	5.7247E-4	2.6432E-5	2.3254E-5	2.0069E-3	4.0365E-4	0.0152	2.4177E-5	6.072E-4	0.0198	3.0155E-5	2.1924E-3	0.0146	1.3912E-4	3.1139E-5	3.4285E-5	3.3921E-4	3.8538E-3	3.6261E-3	3.1671E-5	2.3721E-3	5.8583E-3	4.7829E-5	5.7501E-3	3.9625E-3	9.1817E-5	1.6281E-4	5.5696E-5	0.0119	5.0138E-3	3.8084E-3	5.5301E-5	1.2067E-3	4.7841E-3	4.3263E-5	3.6875E-3	4.8356E-3	5.9015E-5	4.0142E-5	4.0371E-5	1.6279E-3	3.5375E-3	8.2413E-3	3.7112E-5	1.2343E-3	4.886E-3	3.6333E-5	3.7015E-3	0.0102	1.6324E-3	5.5017E-5	3.1422E-5	1.3729E-3	2.9014E-4	0.0113	3.3176E-5	8.2141E-4	6.8567E-3	4.8553E-5	3.1086E-3	4.058E-3	8.0165E-4	4.9864E-5	4.9793E-5	9.2599E-3	1.7401E-3	2.2416E-3	4.7681E-5	2.4386E-3	3.144E-3	5.7216E-5	6.0828E-3	5.2044E-3	9.4083E-5	4.8019E-5	4.4174E-5	8.6249E-3	1.1192E-3	6.0338E-4	4.4194E-5	8.4427E-4	7.2785E-3	5.9751E-5	5.0618E-3	8.3873E-3	5.7645E-5	5.7486E-5	4.9766E-5	5.3008E-4	3.5036E-3	4.372E-3	6.0382E-5	2.2508E-3	5.1879E-3	4.6167E-5	6.807E-3	4.401E-3	1.8551E-3	6.6929E-5	4.7297E-5	4.6077E-3	3.7987E-3	1.6227E-3	5.7399E-5	4.5457E-4	6.2079E-3	5.1363E-5	2.6859E-3	3.7067E-3	2.6246E-4	2.8174E-5	2.2743E-5	7.5339E-4	7.7352E-4	5.6423E-3	2.3314E-5	3.2896E-3	1.5207E-3	2.9736E-5	2.1406E-3	0.011	2.844E-4	3.0545E-5	2.7689E-5	9.1473E-4	2.6307E-3	8.4339E-3	3.8683E-5	1.2967E-3	5.428E-3	4.0665E-5	1.9584E-3	5.4456E-3	1.1884E-4	4.4235E-5	4.3197E-5	8.1951E-4	6.9421E-4	2.6576E-3	3.7847E-5
stdev	352.9224	0.0122	8.0016E-3	1.319E-3	0.0152	0.0457	2.5145E-3	1.3351E-3	1.2602E-3	6.7928E-3	4.2291E-3	0.0351	1.3248E-3	4.0949E-3	0.0471	1.0549E-3	0.011	0.0359	1.5589E-3	1.0818E-3	1.0715E-3	3.0275E-3	0.0106	0.0132	1.0612E-3	0.0149	0.0218	5.6084E-3	0.0264	0.0275	5.8577E-3	5.9705E-3	5.6571E-3	0.0318	0.0197	0.0149	5.6101E-3	7.8336E-3	0.0202	1.6711E-3	0.0177	0.0202	1.9044E-3	1.7192E-3	1.6765E-3	8.3883E-3	0.0124	0.0252	1.6877E-3	5.3251E-3	0.0147	1.1499E-3	0.0125	0.027	4.6115E-3	1.179E-3	1.0938E-3	5.5305E-3	2.9635E-3	0.0278	1.1543E-3	8.4717E-3	0.0252	4.6666E-3	0.0165	0.0268	5.8771E-3	4.6916E-3	4.671E-3	0.0279	9.147E-3	0.0135	4.5993E-3	0.0118	0.022	4.4749E-3	0.0274	0.0223	4.6661E-3	4.5388E-3	4.4619E-3	0.0272	7.9697E-3	7.002E-3	4.2957E-3	0.0119	0.0305	6.3202E-3	0.0271	0.0326	6.1399E-3	6.2315E-3	6.1928E-3	8.1078E-3	0.0169	0.0213	6.2325E-3	0.0121	0.0263	3.2058E-3	0.0246	0.0275	7.623E-3	3.4218E-3	3.2174E-3	0.0183	0.0198	0.0111	3.3177E-3	4.9689E-3	0.0248	1.9852E-3	0.018	0.0181	2.6004E-3	1.9772E-3	1.8939E-3	4.4999E-3	6.6507E-3	0.0215	1.9539E-3	0.0107	8.0681E-3	1.0506E-3	0.0117	0.0293	1.864E-3	1.0605E-3	9.9909E-4	4.8657E-3	9.2246E-3	0.0233	1.1128E-3	9.4514E-3	0.0275	3.9711E-3	0.016	0.022	4.1496E-3	4.0328E-3	3.9446E-3	6.5359E-3	6.5678E-3	0.0128	3.9044E-3
variance	1.2455E5	1.4943E-4	6.4026E-5	1.7397E-6	2.3197E-4	2.0855E-3	6.3226E-6	1.7824E-6	1.5882E-6	4.6143E-5	1.7885E-5	1.2339E-3	1.7551E-6	1.6768E-5	2.2154E-3	1.1129E-6	1.1992E-4	1.2864E-3	2.4302E-6	1.1704E-6	1.1481E-6	9.1657E-6	1.1287E-4	1.7504E-4	1.1262E-6	2.2296E-4	4.759E-4	3.1454E-5	6.9784E-4	7.5789E-4	3.4313E-5	3.5647E-5	3.2003E-5	1.0094E-3	3.9003E-4	2.2228E-4	3.1473E-5	6.1366E-5	4.0624E-4	2.7926E-6	3.12E-4	4.0976E-4	3.6267E-6	2.9558E-6	2.8106E-6	7.0364E-5	1.5414E-4	6.3269E-4	2.8483E-6	2.8357E-5	2.1625E-4	1.3223E-6	1.5643E-4	7.27E-4	2.1266E-5	1.3901E-6	1.1963E-6	3.0586E-5	8.7824E-6	7.7011E-4	1.3324E-6	7.1769E-5	6.3461E-4	2.1778E-5	2.7112E-4	7.1933E-4	3.454E-5	2.2011E-5	2.1818E-5	7.8018E-4	8.3668E-5	1.8156E-4	2.1154E-5	1.4036E-4	4.8254E-4	2.0025E-5	7.4917E-4	4.9608E-4	2.1773E-5	2.0601E-5	1.9909E-5	7.4152E-4	6.3516E-5	4.9028E-5	1.8453E-5	1.4246E-4	9.2873E-4	3.9944E-5	7.3366E-4	1.0646E-3	3.7699E-5	3.8831E-5	3.8351E-5	6.5736E-5	2.8582E-4	4.5215E-4	3.8844E-5	1.4753E-4	6.8921E-4	1.0277E-5	6.0731E-4	7.5462E-4	5.8109E-5	1.1709E-5	1.0352E-5	3.3575E-4	3.9346E-4	1.2365E-4	1.1007E-5	2.469E-5	6.1576E-4	3.941E-6	3.2577E-4	3.2685E-4	6.762E-6	3.9095E-6	3.5868E-6	2.0249E-5	4.4232E-5	4.6187E-4	3.8175E-6	1.1372E-4	6.5094E-5	1.1038E-6	1.3731E-4	8.5668E-4	3.4744E-6	1.1247E-6	9.9818E-7	2.3675E-5	8.5093E-5	5.4292E-4	1.2384E-6	8.9329E-5	7.5843E-4	1.5769E-5	2.549E-4	4.8348E-4	1.7219E-5	1.6263E-5	1.556E-5	4.2719E-5	4.3135E-5	1.6278E-4	1.5245E-5
median	-73932.8	0.6852	7.7382E-3	9.3881E-4	0.0135	0.2161	1.1991E-3	9.6827E-4	8.8736E-4	9.6552E-3	3.5771E-3	0.0515	9.1826E-4	3.3883E-3	0.7734	7.8437E-4	0.0245	0.1496	1.0021E-3	7.4167E-4	7.4734E-4	2.6443E-3	8.2716E-3	0.0251	7.7577E-4	0.02	0.0251	0.6707	0.0777	0.0818	4.2438E-3	4.3204E-3	4.0085E-3	0.0512	0.017	8.7924E-3	3.9881E-3	0.0106	0.059	1.1813E-3	0.7107	0.0509	1.3695E-3	1.1551E-3	1.1711E-3	0.0141	0.0188	0.1188	1.1863E-3	3.4779E-3	0.0403	8.3562E-4	0.0356	0.8015	1.8726E-3	8.2579E-4	8.0113E-4	5.541E-3	2.4014E-3	0.0983	8.3252E-4	6.4268E-3	0.0269	3.2725E-3	0.0199	0.1567	0.6705	3.2543E-3	3.2447E-3	0.0602	5.8539E-3	0.0185	3.3201E-3	0.0109	0.0762	3.1564E-3	0.0987	0.0318	3.3038E-3	0.6698	3.2055E-3	0.0672	4.5304E-3	5.3973E-3	3.1122E-3	0.0148	0.0649	4.4946E-3	0.0729	0.0654	4.405E-3	4.5132E-3	0.6711	6.3266E-3	0.0242	0.0369	4.4902E-3	0.0111	0.0896	2.2325E-3	0.0329	0.099	3.7935E-3	2.4297E-3	2.2881E-3	0.6966	0.0227	0.0112	2.3253E-3	4.1138E-3	0.1204	1.3786E-3	0.0691	0.045	1.7601E-3	1.3559E-3	1.3438E-3	3.604E-3	0.6747	0.0644	1.3492E-3	6.9228E-3	8.6711E-3	7.5463E-4	0.0712	0.1503	9.4606E-4	7.6807E-4	7.8749E-4	0.0105	0.0222	0.7165	7.7658E-4	0.0121	0.1508	2.7723E-3	0.0508	0.0611	2.8894E-3	2.8255E-3	2.8495E-3	6.0289E-3	4.4908E-3	0.0165	0.6695
value range	[-74812.7, -73109.4]	[0.6667, 0.7356]	[3.0714E-6, 0.0543]	[1.0638E-7, 0.0113]	[6.1281E-6, 0.1257]	[0.0838, 0.2939]	[1.2499E-7, 0.0281]	[8.5016E-8, 0.0134]	[2.0176E-7, 0.0121]	[1.9563E-5, 0.0446]	[1.7757E-6, 0.0429]	[2.7749E-3, 0.1479]	[6.4037E-8, 0.0151]	[2.6429E-7, 0.0285]	[0.6802, 0.8747]	[1.6366E-6, 8.6313E-3]	[2.8008E-3, 0.081]	[0.0523, 0.2458]	[6.7413E-6, 0.016]	[2.5765E-7, 0.0125]	[8.1395E-7, 0.0107]	[4.7635E-7, 0.0226]	[4.5676E-6, 0.0656]	[1.7062E-5, 0.0727]	[9.2038E-7, 0.0123]	[5.6308E-6, 0.1048]	[3.2549E-6, 0.1359]	[0.6667, 0.7144]	[8.3056E-3, 0.1886]	[9.5216E-3, 0.1826]	[4.5144E-7, 0.0524]	[2.1122E-9, 0.0515]	[2.9898E-8, 0.0522]	[1.3947E-5, 0.1517]	[2.9406E-7, 0.1323]	[1.0001E-6, 0.1142]	[4.3235E-7, 0.0514]	[4.7147E-6, 0.0509]	[0.0112, 0.1582]	[1.922E-7, 0.0138]	[0.6672, 0.7986]	[5.7026E-3, 0.1483]	[8.9181E-8, 0.0198]	[8.9087E-7, 0.0199]	[5.5052E-7, 0.0148]	[1.2752E-4, 0.058]	[1.5605E-4, 0.0831]	[0.0518, 0.1923]	[1.8063E-7, 0.0197]	[2.467E-6, 0.0448]	[3.2323E-3, 0.0982]	[1.1085E-7, 0.0106]	[4.3523E-3, 0.0802]	[0.7474, 0.9026]	[1.4479E-6, 0.0303]	[3.9975E-7, 0.0115]	[3.0168E-7, 9.7517E-3]	[1.3699E-7, 0.0412]	[1.049E-5, 0.0242]	[0.0123, 0.1649]	[6.1426E-7, 0.0122]	[7.0111E-8, 0.0631]	[6.8797E-6, 0.1451]	[6.2588E-9, 0.0551]	[2.6646E-6, 0.1007]	[0.0608, 0.2543]	[0.6667, 0.7271]	[9.6623E-8, 0.0465]	[7.1839E-8, 0.0421]	[4.2099E-6, 0.1474]	[2.8837E-8, 0.0732]	[4.3539E-6, 0.0902]	[3.0313E-7, 0.043]	[1.4014E-6, 0.09]	[0.0154, 0.1515]	[3.3678E-7, 0.0405]	[0.0261, 0.2197]	[1.4837E-5, 0.1381]	[2.3361E-7, 0.0465]	[0.6667, 0.7059]	[7.7142E-7, 0.0468]	[6.4386E-3, 0.1557]	[4.5846E-7, 0.0737]	[2.4902E-8, 0.0631]	[3.138E-7, 0.0461]	[1.8029E-6, 0.0941]	[1.0016E-3, 0.2018]	[6.5054E-9, 0.0672]	[7.4079E-3, 0.1817]	[1.0145E-5, 0.1806]	[2.5142E-6, 0.0604]	[6.836E-7, 0.0577]	[0.6667, 0.7296]	[5.307E-7, 0.0705]	[1.2623E-5, 0.1131]	[5.2467E-4, 0.1562]	[5.4149E-7, 0.0666]	[7.1243E-6, 0.0792]	[0.0218, 0.1955]	[7.7446E-7, 0.0303]	[2.6337E-5, 0.1859]	[0.0132, 0.1914]	[1.0272E-6, 0.0622]	[4.8661E-7, 0.0329]	[1.031E-6, 0.0323]	[0.6667, 0.7703]	[8.13E-6, 0.1155]	[7.1648E-6, 0.0888]	[1.0828E-6, 0.0296]	[1.0539E-6, 0.0427]	[0.0495, 0.2069]	[1.2197E-7, 0.0199]	[0.0195, 0.1502]	[4.0908E-3, 0.1088]	[2.3346E-7, 0.0254]	[9.2732E-9, 0.0192]	[1.027E-7, 0.0175]	[4.0924E-7, 0.0348]	[0.6667, 0.7209]	[7.3764E-3, 0.1373]	[2.3262E-10, 0.0254]	[1.0943E-5, 0.0738]	[1.3141E-5, 0.0552]	[8.4981E-8, 0.0102]	[0.0364, 0.1173]	[0.0344, 0.2104]	[1.0438E-6, 0.0186]	[7.98E-7, 0.0118]	[2.6822E-7, 7.3531E-3]	[7.817E-4, 0.0363]	[2.067E-3, 0.0607]	[0.6827, 0.8211]	[5.9579E-9, 0.0132]	[6.8103E-7, 0.0828]	[0.0845, 0.2397]	[4.2447E-8, 0.036]	[5.8041E-3, 0.1208]	[5.5123E-3, 0.1383]	[2.727E-7, 0.0358]	[1.6758E-7, 0.0489]	[1.5124E-7, 0.0361]	[1.2494E-6, 0.0464]	[2.4007E-7, 0.0512]	[3.4851E-7, 0.0835]	[0.6667, 0.7047]
geometric mean	n/a	0.6855	6.1065E-3	7.5512E-4	0.0116	0.2019	1.0281E-3	7.7824E-4	7.206E-4	8.6433E-3	2.8048E-3	0.0448	7.4832E-4	2.735E-3	0.7653	6.5076E-4	0.0239	0.1516	8.2037E-4	5.7409E-4	6.0789E-4	2.0799E-3	7.0578E-3	0.0209	6.0218E-4	0.0168	0.0209	0.6724	0.0757	0.0771	3.3993E-3	3.485E-3	3.2646E-3	0.0389	0.0141	7.4314E-3	3.2467E-3	8.2974E-3	0.0574	9.2605E-4	0.7111	0.0493	1.1104E-3	9.2043E-4	9.2948E-4	0.0127	0.0168	0.1156	9.7553E-4	2.8886E-3	0.0374	6.409E-4	0.0337	0.8069	1.6052E-3	6.6709E-4	6.2404E-4	4.3149E-3	1.9144E-3	0.087	6.6067E-4	5.1687E-3	0.0232	2.605E-3	0.0166	0.1536	0.6723	2.6225E-3	2.6741E-3	0.0459	4.788E-3	0.0149	2.6884E-3	8.71E-3	0.0735	2.5509E-3	0.098	0.0279	2.6534E-3	0.6712	2.5681E-3	0.0619	3.8122E-3	4.3316E-3	2.5219E-3	0.0127	0.0588	3.6042E-3	0.0706	0.0564	3.5635E-3	3.6185E-3	0.6729	5.0741E-3	0.0193	0.0347	3.5833E-3	8.8678E-3	0.087	1.8006E-3	0.0286	0.094	3.1901E-3	1.9597E-3	1.8622E-3	0.698	0.0187	9.1896E-3	1.9135E-3	3.2694E-3	0.1203	1.129E-3	0.0678	0.0426	1.4438E-3	1.1262E-3	1.1002E-3	2.9451E-3	0.6759	0.0599	1.0911E-3	5.7331E-3	7.2933E-3	6.1456E-4	0.0706	0.1409	8.0375E-4	6.5108E-4	6.1244E-4	0.0102	0.0203	0.7233	6.1214E-4	0.01	0.1499	2.2448E-3	0.0496	0.0575	2.3322E-3	2.2707E-3	2.2918E-3	4.9302E-3	3.654E-3	0.0136	0.6706
95% HPD interval	[-74562.3, -73296.4]	[0.6667, 0.7068]	[3.0714E-6, 0.0253]	[4.2476E-7, 4.0092E-3]	[6.1281E-6, 0.0493]	[0.128, 0.2791]	[4.2853E-7, 6.9849E-3]	[8.5016E-8, 4.047E-3]	[2.0464E-7, 3.9013E-3]	[1.9185E-4, 0.0243]	[1.7757E-6, 0.0128]	[7.9215E-3, 0.1134]	[2.9235E-7, 3.9508E-3]	[2.6429E-7, 0.0131]	[0.6917, 0.8387]	[1.6366E-6, 3.2092E-3]	[7.0824E-3, 0.048]	[0.0986, 0.2242]	[6.7413E-6, 4.4319E-3]	[2.5765E-7, 3.1762E-3]	[8.1395E-7, 3.2839E-3]	[4.1507E-6, 9.5679E-3]	[4.5676E-6, 0.034]	[1.7062E-5, 0.0491]	[9.2038E-7, 3.2218E-3]	[5.6308E-6, 0.0511]	[4.0557E-6, 0.0718]	[0.6667, 0.6835]	[0.0331, 0.136]	[0.0291, 0.134]	[4.5144E-7, 0.0177]	[2.1122E-9, 0.0181]	[2.9898E-8, 0.0172]	[1.3947E-5, 0.1068]	[2.9406E-7, 0.0649]	[1.0001E-6, 0.0455]	[4.3235E-7, 0.0168]	[4.7147E-6, 0.026]	[0.0224, 0.1001]	[1.922E-7, 5.0668E-3]	[0.674, 0.7426]	[0.0155, 0.098]	[8.9181E-8, 5.5898E-3]	[8.9087E-7, 5.1233E-3]	[5.5052E-7, 5.0804E-3]	[1.3779E-3, 0.0312]	[3.132E-4, 0.0445]	[0.0706, 0.1632]	[3.8615E-6, 5.0327E-3]	[2.467E-6, 0.0156]	[0.0125, 0.0681]	[4.3295E-7, 3.4357E-3]	[0.0134, 0.0598]	[0.7676, 0.8691]	[1.4479E-6, 0.0143]	[3.9975E-7, 3.4192E-3]	[3.0168E-7, 3.2871E-3]	[1.3699E-7, 0.0175]	[1.049E-5, 9.189E-3]	[0.0311, 0.1325]	[6.1426E-7, 3.3953E-3]	[7.0111E-8, 0.0259]	[7.7429E-6, 0.0837]	[6.2588E-9, 0.0141]	[2.6646E-6, 0.0552]	[0.1024, 0.2054]	[0.6667, 0.6837]	[9.6623E-8, 0.014]	[7.1839E-8, 0.0139]	[2.8922E-4, 0.1008]	[2.8837E-8, 0.0282]	[1.2128E-5, 0.0456]	[3.0313E-7, 0.0141]	[1.4014E-6, 0.038]	[0.0357, 0.12]	[1.5177E-6, 0.0135]	[0.0492, 0.1556]	[5.3596E-5, 0.0806]	[2.3361E-7, 0.0141]	[0.6667, 0.6803]	[7.7142E-7, 0.0134]	[0.0222, 0.1211]	[4.5846E-7, 0.0227]	[2.4902E-8, 0.0217]	[9.3576E-7, 0.0129]	[1.7935E-5, 0.0403]	[9.8418E-3, 0.124]	[6.5054E-9, 0.0189]	[0.0276, 0.1306]	[5.1073E-3, 0.128]	[2.7432E-6, 0.0184]	[6.836E-7, 0.0189]	[0.6667, 0.6853]	[5.307E-7, 0.0248]	[3.0212E-5, 0.0574]	[3.2033E-3, 0.0813]	[5.4149E-7, 0.0188]	[7.1243E-6, 0.0387]	[0.0409, 0.1424]	[7.7446E-7, 9.6397E-3]	[7.1738E-4, 0.0853]	[0.0441, 0.1512]	[1.0272E-6, 0.0225]	[1.0278E-6, 0.0103]	[1.031E-6, 9.6719E-3]	[0.6667, 0.7307]	[3.3286E-5, 0.0657]	[7.1648E-6, 0.0355]	[1.0828E-6, 9.9506E-3]	[1.0539E-6, 0.0153]	[0.0801, 0.1728]	[1.2197E-7, 5.9385E-3]	[0.0364, 0.1062]	[0.0151, 0.0818]	[2.3346E-7, 7.5801E-3]	[9.2732E-9, 5.9447E-3]	[1.027E-7, 5.7582E-3]	[4.0924E-7, 0.0139]	[0.6667, 0.6887]	[0.023, 0.1021]	[9.3347E-7, 5.8314E-3]	[1.0943E-5, 0.0359]	[4.345E-5, 0.0264]	[8.4981E-8, 3.0897E-3]	[0.0482, 0.0933]	[0.0841, 0.1938]	[1.0438E-6, 5.0498E-3]	[7.98E-7, 3.2125E-3]	[2.6822E-7, 3.0967E-3]	[2.7324E-3, 0.0208]	[5.3627E-3, 0.0397]	[0.6919, 0.7742]	[5.9579E-9, 3.2689E-3]	[2.3974E-5, 0.0315]	[0.1065, 0.212]	[4.2447E-8, 0.0119]	[0.0227, 0.0829]	[0.021, 0.1038]	[2.727E-7, 0.0126]	[1.6758E-7, 0.0119]	[1.5124E-7, 0.0119]	[2.3003E-6, 0.0209]	[9.9969E-7, 0.0196]	[3.4851E-7, 0.0434]	[0.6667, 0.6785]
auto-correlation time (ACT)	1.5355E6	9.778E5	2.3325E5	5098.8575	5.1332E5	1.4776E6	4.6653E5	3527.931	3064.5051	7.8562E5	81996.5835	1.6806E6	2997.5498	1.979E5	1.6001E6	7354.1848	3.6077E5	1.4826E6	71684.185	7456.7234	9215.2263	1.1299E5	1.1843E6	6.761E5	8016.4864	2.2715E5	6.4908E5	654.6087	4.2644E5	1.8646E5	2211.3506	6692.8142	872.4292	1.2627E6	5.801E5	5.8728E5	874.574	2.1355E5	5.0709E5	6032.252	3.9228E5	5.1361E5	8643.3918	4906.7389	5219.3125	3.3899E5	7.307E5	9.6619E5	4352.2949	4.8357E5	9.9361E5	8985.7271	7.883E5	1.2911E6	1.1278E6	19598.4368	7428.2282	5.5463E5	86271.9252	1.4946E6	7434.7757	84614.7232	6.668E5	974.2819	3.208E5	2.0604E5	1.6746E5	1016.6908	1022.8182	9.892E5	3.2573E5	2.4909E5	967.29	3.8132E5	1.8438E5	1471.4094	4.4452E5	4.9143E5	3659.0625	1007.3818	882.1545	9.0294E5	1.775E5	66836.2998	952.6437	45033.4893	5.1341E5	804.4596	3.1432E5	5.9474E5	793.3528	765.9681	581.232	38472.0012	3.8655E5	3.8049E5	844.8087	3.0906E5	3.5148E5	1866.646	6.8671E5	2.3102E5	5.3306E5	3443.3471	1944.9977	5.6915E5	3.3009E5	1.9166E5	2694.0425	75326.0443	5.633E5	6025.0961	1.9931E5	3.7834E5	91685.2037	1827.4146	1297.9022	2.523E5	1.2175E5	6.2038E5	1281.526	8.5646E5	3.1976E5	7209.9224	3.0037E5	1.2698E6	2.0953E5	7466.706	6912.9546	3.181E5	7.3202E5	1.1792E6	10875.1802	1.6942E5	3.4965E5	943.8416	1.3543E5	5.5206E5	7381.4005	1082.9155	1079.3884	1.415E5	1.0056E5	3.9053E5	845.6978
effective sample size (ESS)	5.9	9.2	38.6	1765.1	17.5	6.1	19.3	2551.1	2936.9	11.5	109.8	5.4	3002.5	45.5	5.6	1223.8	24.9	6.1	125.6	1207	976.6	79.7	7.6	13.3	1122.7	39.6	13.9	13748.7	21.1	48.3	4069.9	1344.7	10316	7.1	15.5	15.3	10290.7	42.1	17.7	1492	22.9	17.5	1041.3	1834.2	1724.4	26.5	12.3	9.3	2067.9	18.6	9.1	1001.6	11.4	7	8	459.2	1211.6	16.2	104.3	6	1210.5	106.4	13.5	9237.6	28.1	43.7	53.7	8852.2	8799.2	9.1	27.6	36.1	9304.3	23.6	48.8	6116.6	20.2	18.3	2459.6	8934.1	10202.3	10	50.7	134.7	9447.4	199.9	17.5	11187.6	28.6	15.1	11344.3	11749.8	15484.4	233.9	23.3	23.7	10653.3	29.1	25.6	4821.5	13.1	39	16.9	2613.7	4627.3	15.8	27.3	47	3340.7	119.5	16	1493.8	45.2	23.8	98.2	4925	6934.3	35.7	73.9	14.5	7022.9	10.5	28.1	1248.3	30	7.1	43	1205.4	1301.9	28.3	12.3	7.6	827.6	53.1	25.7	9535.5	66.5	16.3	1219.3	8310.9	8338.1	63.6	89.5	23	10642.1
